	logFC	logCPM	PValue	FDR	de
ENSMUSG00000025997	0.591631919672296	2.19368870216669	0.00549085149718708	0.0184208346442872	TRUE
ENSMUSG00000053153	0.501375599015391	0.918759209791243	0.100930480743486	0.188292089143674	FALSE
ENSMUSG00000026196	0.179815022174048	6.54411023771265	0.171628574147724	0.28274773373803	FALSE
ENSMUSG00000026192	-0.133922315841818	7.80213053331815	0.288150805276392	0.417686995417273	FALSE
ENSMUSG00000026193	0.545156536372627	11.2832328819333	0.00500733862325159	0.0170781573997593	TRUE
ENSMUSG00000039395	0.372195878855603	7.56656359840064	0.00564922971357917	0.0188692238767689	TRUE
ENSMUSG00000026189	-0.038281640809546	3.79126833121644	0.717501376834354	0.80855007094991	FALSE
ENSMUSG00000026187	-0.269772118272047	7.93352852948084	0.0342658371867431	0.08150279304743	FALSE
ENSMUSG00000039354	-0.0777586692474035	5.87270249161523	0.479766927037414	0.608478401370014	FALSE
ENSMUSG00000046330	-0.40826112610409	5.35257076541507	0.00563307149328396	0.0188198288362682	TRUE
ENSMUSG00000039323	-0.140933070015488	8.60219327055734	0.28145314204575	0.410554604525856	FALSE
ENSMUSG00000026185	-1.58160653691202	0.96857007686772	4.59134874749138e-06	4.13071048415433e-05	TRUE
ENSMUSG00000055322	0.232000830183151	6.58786173526487	0.213925908188745	0.335186373938979	FALSE
ENSMUSG00000006304	-0.311251182230841	6.52404379151214	0.011792594748728	0.0344695035442606	TRUE
ENSMUSG00000006299	-0.277690819698107	7.25360580071911	0.0349095818896879	0.0827145587876234	FALSE
ENSMUSG00000026179	0.025161457650403	4.22126762908783	0.842602169719919	0.899430350241821	FALSE
ENSMUSG00000006301	0.0595531464046344	6.05596397610109	0.684442896447492	0.78252966972334	FALSE
ENSMUSG00000073650	1.40941141775881	1.75461037025329	7.64353319526717e-08	1.00101867527722e-06	TRUE
ENSMUSG00000026177	1.03039246796316	1.27776970708849	0.000474415355562888	0.00238300480977073	TRUE
ENSMUSG00000026176	0.0727868836253934	4.42408924943211	0.63474875609669	0.741953408598343	FALSE
ENSMUSG00000026175	1.09075022207148	1.87235964420262	4.19977789768724e-05	0.000292727289489738	TRUE
ENSMUSG00000033364	-0.0784919201489071	8.02272833880676	0.509286936001979	0.635879662527964	FALSE
ENSMUSG00000026174	-0.395814417735963	7.21391377560105	0.00132398685612346	0.00566280555087924	TRUE
ENSMUSG00000026173	0.348657549733348	1.62783029867052	0.200979810366033	0.319197761249544	FALSE
ENSMUSG00000026135	0.186839688210973	5.5092774614478	0.215249268532705	0.33656891089259	FALSE
ENSMUSG00000026172	-0.280473501205821	4.50967272551343	0.0327841255267539	0.0787576376547835	FALSE
ENSMUSG00000026171	-0.0898827365634026	4.76011645656124	0.461202886578615	0.59176288930765	FALSE
ENSMUSG00000033276	-0.11517263864463	2.5436396183086	0.593014043789792	0.70904342532688	FALSE
ENSMUSG00000033257	0.230935031359978	7.70874014880581	0.0552839061128657	0.118596237067231	FALSE
ENSMUSG00000026170	0.818525858260044	1.27274576516556	0.00225212464091015	0.00881472601618906	TRUE
ENSMUSG00000033227	0.734837745387116	0.666872024768735	0.0399297571556176	0.0919579638876592	FALSE
ENSMUSG00000090071	0.179643765093261	0.455025969868005	0.594479706972111	0.71017062733764	FALSE
ENSMUSG00000026162	-0.0653608557596082	2.67017071920418	0.670249257176798	0.770985874160165	FALSE
ENSMUSG00000033159	0.0119653107757026	3.66966991472996	0.982634809471129	0.99590092309217	FALSE
ENSMUSG00000049339	-0.0344569677632294	4.07428359328505	0.789937500537659	0.863819261512884	FALSE
ENSMUSG00000026197	0.021648410592053	3.34935155387201	1	1	FALSE
ENSMUSG00000026198	0.020764694793218	5.31530313929028	0.959123708111543	0.979245689515499	FALSE
ENSMUSG00000033124	0.338767417309309	4.3517357834961	0.0375472557510075	0.0876804690646509	FALSE
ENSMUSG00000026199	0.148852932755415	5.69189485977515	0.239440264588446	0.363991143727676	FALSE
ENSMUSG00000026200	-0.444681237828273	4.02489350065877	0.00721477392035943	0.0230879487812481	TRUE
ENSMUSG00000026201	-0.0348052668347163	5.17971514122339	0.730735304698525	0.819008534810242	FALSE
ENSMUSG00000026202	-0.521795105929294	6.80537218633951	0.00113149225377623	0.00496627494644658	TRUE
ENSMUSG00000096094	0.218383403916704	1.03595457301197	0.638270837331861	0.745309372143231	FALSE
ENSMUSG00000026203	-0.0287490996699922	3.56350745889431	0.843378844052657	0.899722048354564	FALSE
ENSMUSG00000026204	1.09220160072005	2.37558392270032	3.54982486637333e-06	3.2685987945199e-05	TRUE
