	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000051998	163	163	121	164	32	115
ENSMUSG00000026463	673	701	527	637	197	723
ENSMUSG00000020423	389	341	301	290	66	174
ENSMUSG00000026450	57	52	38	47	5	30
ENSMUSG00000064246	49	32	27	18	5	10
ENSMUSG00000026458	722	714	535	613	152	757
ENSMUSG00000042305	2113	1932	1937	1795	429	1096
ENSMUSG00000050526	17	26	11	17	2	14
ENSMUSG00000026456	3114	2958	2345	2372	498	1768
ENSMUSG00000026457	2113	1829	1743	1499	341	993
ENSMUSG00000026455	1475	1424	1230	1395	330	995
ENSMUSG00000042229	1098	1017	1032	671	160	405
ENSMUSG00000046367	65	36	30	40	9	24
ENSMUSG00000042207	14255	13982	12084	11017	2990	9743
ENSMUSG00000026452	13	13	5	17	4	25
ENSMUSG00000073557	361	379	281	457	142	628
ENSMUSG00000026429	523	422	383	475	123	255
ENSMUSG00000042793	10	23	10	42	9	42
ENSMUSG00000031506	45	39	54	83	9	50
ENSMUSG00000026426	401	358	272	258	75	212
ENSMUSG00000003051	2194	1755	1676	890	177	566
ENSMUSG00000041926	1263	1071	1117	913	169	635
ENSMUSG00000062580	1401	1169	1130	1207	315	896
ENSMUSG00000048096	29	27	26	29	5	17
ENSMUSG00000041889	17	29	28	14	9	25
ENSMUSG00000041879	4183	4015	3425	3233	670	2334
ENSMUSG00000009418	1306	1337	995	1103	348	1468
ENSMUSG00000026421	2277	1950	1963	1592	309	865
ENSMUSG00000041801	603	572	582	417	85	302
ENSMUSG00000041782	27	16	16	19	2	14
ENSMUSG00000026411	455	427	447	430	94	308
ENSMUSG00000026407	32	31	21	38	8	26
ENSMUSG00000041642	252	231	195	151	55	142
ENSMUSG00000041605	185	203	170	192	29	179
ENSMUSG00000041570	1678	1642	1377	1843	441	1266
ENSMUSG00000026404	461	375	434	375	89	240
ENSMUSG00000041498	1980	1830	1508	1685	411	1367
ENSMUSG00000041483	3223	2949	2675	4301	1289	2810
ENSMUSG00000026398	2762	2746	2302	1739	424	1256
ENSMUSG00000026393	604	567	549	523	157	411
ENSMUSG00000079283	57	47	56	40	8	22
ENSMUSG00000056268	3270	3237	2737	3007	851	2409
ENSMUSG00000033964	1057	985	853	1132	284	697
ENSMUSG00000033952	5837	5373	4907	7329	2114	4553
ENSMUSG00000026365	255	242	187	124	39	103
ENSMUSG00000052726	97	107	101	119	42	141
ENSMUSG00000026361	1686	1892	1258	2153	889	2359
ENSMUSG00000033849	534	642	357	771	256	889
ENSMUSG00000018196	431	388	353	344	111	284
ENSMUSG00000018199	1295	1235	1042	1386	404	893
ENSMUSG00000018189	1025	1009	836	902	318	562
ENSMUSG00000035131	49	43	55	9	1	3
ENSMUSG00000056220	30	26	20	18	4	6
ENSMUSG00000032487	59	77	60	55	11	46
ENSMUSG00000006010	594	541	508	536	119	325
ENSMUSG00000006005	11825	11069	9883	9757	2897	6431
ENSMUSG00000006014	102	102	88	130	54	126
ENSMUSG00000066842	120	107	83	53	17	61
ENSMUSG00000023150	3751	3357	3100	5464	1446	3356
ENSMUSG00000052748	1759	1558	1350	1172	354	889
ENSMUSG00000053286	588	561	549	561	177	402
ENSMUSG00000026484	2990	2685	2389	3001	977	1840
ENSMUSG00000026483	2891	2713	2439	2234	517	1647
ENSMUSG00000043019	1895	1793	1709	2487	676	1665
ENSMUSG00000032666	336	295	274	327	87	272
ENSMUSG00000014980	270	239	225	237	69	141
ENSMUSG00000032649	55	57	38	129	34	91
ENSMUSG00000026482	40	34	35	29	5	22
ENSMUSG00000008475	1227	1087	1102	769	229	485
ENSMUSG00000026480	319	334	288	353	105	393
